city,town,last_update
富山県,富山市,
富山県,高岡市,
富山県,魚津市,
富山県,氷見市,
富山県,滑川市,
富山県,黒部市,
富山県,砺波市,
富山県,小矢部市,
富山県,南砺市,
富山県,射水市,
富山県,舟橋村,
富山県,上市町,
富山県,立山町,
富山県,入善町,
富山県,朝日町,
新潟県,新潟市,
新潟県,長岡市,
新潟県,三条市,
新潟県,柏崎市,
新潟県,新発田市,
新潟県,小千谷市,
新潟県,加茂市,
新潟県,十日町市,
新潟県,見附市,
新潟県,村上市,
新潟県,燕市,
新潟県,糸魚川市,
新潟県,妙高市,
新潟県,五泉市,
新潟県,上越市,
新潟県,阿賀野市,
新潟県,佐渡市,
新潟県,魚沼市,
新潟県,南魚沼市,
新潟県,胎内市,
新潟県,聖籠町,
新潟県,弥彦村,
新潟県,田上町,
新潟県,阿賀町,
新潟県,出雲崎町,
新潟県,湯沢町,
新潟県,津南町,
新潟県,刈羽村,
新潟県,関川村,
新潟県,粟島浦村,
石川県,金沢市,
石川県,七尾市,
石川県,小松市,
石川県,輪島市,
石川県,珠洲市,
石川県,加賀市,
石川県,羽咋市,
石川県,かほく市,
石川県,白山市,
石川県,能美市,
石川県,野々市市,
石川県,川北町,
石川県,津幡町,
石川県,内灘町,
石川県,志賀町,
石川県,宝達志水町,
石川県,中能登町,
石川県,穴水町,
石川県,能登町,
